,学科,序号,Unnamed: 2,期刊名称 期 刊 信 息,Unnamed: 4,联系电话
50,,8,中山大学学报(社会科学版),广州新港西路135号(510275),,(020)84111990
51,,9,厦门大学学报(哲学社会科学版),厦门大学(361005),,(0592)2182366
52,,10,清华大学学报(哲学社会科学版),北京市海淀区(100084),,(010)62783533
53,11,上海财经大学学报(哲学社会科学版),上海市武东路321号乙(200434),(021)65904892,,
54,12,武汉大学学报(哲学社会科学版),湖北武昌珞珈山(430072),(027)68754203,,
55,13,华中师范大学学报(人文社会科学版),武昌桂子山(430079),(027)67868127,,
56,14,西安交通大学学报(社会科学版),西安市咸宁西路28号(710049),(029)8266398282667978,,
57,15,求是学刊,哈尔滨南岗区学府路74号(150080),(0451)86608815,,
58,16,南京农业大学学报(社会科学版),南京市卫岗1号(210095),(025)84396306,,
59,17,浙江大学学报(人文社会科学版),杭州市天目山路148号(310028),(0571)8827321088925616,,
60,18,南京师大学报(社会科学版),南京市宁海路122号(210097),(025)83598341,,
61,19,西北师大学报(社会科学版),兰州市安宁东路967号(730070),(0931)7971692,,
62,20,四川大学学报(哲学社会科学版),四川省成都市望江路29号文科楼156室(610064),(028)85412440,,
63,21,东北师大学报(哲学社会科学版),长春市人民大街5268号(130024),(0431)8509932585098026,,
64,22,华东师范大学学报(哲学社会科学版),上海市中山北路3663号(200062),(021)62232305,,
65,23,陕西师范大学学报(哲学社会科学版),西安市长安南路陕西师范大学(710062),(029)85308849,,
66,24,湖南大学学报(社会科学版),长沙岳麓山(410082),(0731)8822900,,
67,25,西南大学学报(人文社会科学版。原:西南师范大学学报),重庆市北碚区西南师范大学学报(400715),(023)68252538,,
68,26,湘潭大学学报(哲学社会科学版),湖南省湘潭市(411105),,,
69,27,北京工商大学学报(社会科学版),北京市海淀区阜成路33号北京工商大学(100037),(010)68984614,,
70,28,暨南学报(哲学社会科学版),广州市石牌(510632),(020)8522028185224092,,
71,29,西北大学学报(哲学社会科学版),西安市太白北路229号(710069),(029)88302822,,
72,30,郑州大学学报(哲学社会科学版),郑州市科学大道100号(450001),(0371)67781275,,
73,31,山西大学学报(哲学社会科学版),太原坞城路92号山西大学(030006),(0351)7018311,,
74,32,兰州大学学报(社会科学版),兰州大学(730000),(0931)89127062312707,,
75,33,首都师范大学学报(社会科学版),北京西三环北路105号(100037),(010)68902450,,
76,种)34,河南师范大学学报(哲社版),新乡市建设路河南师范大学(453007),(0373)3326281,,
77,35,天津师范大学学报(社会科学版),河西区卫津路241号(300074),(022)2354101423540081,,
78,36,上海交通大学学报(哲学社会科学版),上海市华山路1954号1000号信箱(200030),(021)62933089,,
79,37,武汉大学学报(人文科学版),湖北武昌珞珈山(430072),(027)68754203,,
80,38,中国农业大学学报(社会科学版),北京海淀区清华东路17号(100083),(010)62736933,,
81,39,华南农业大学学报(社科版),广州市五山华南农业大学(510642),(020)38675026,,
82,40,天津大学学报(社会科学版),天津市南开区(300072),,,
83,41,山东大学学报(哲学社会科学版),济南市山大南路27号(250100),(0531)88364645,,
84,42,华中科技大学学报(社会科学版),武汉市珞瑜路1037号(430074),(027)87543816,,
85,43,安徽大学学报(哲学社会科学版),安徽合肥安徽大学(230039),(0551)51077195107157,,
86,44,重庆大学学报(社会科学版),重庆市沙坪坝正街174号(400030),(023)65102306,,
87,45,东南大学学报(哲学社会科学版),南京四牌楼2号(210096),(025)83791190,,
88,46,福州大学学报(哲学社会科学版),福建省福州市工业路523号(350002),(0591)87892444,,
89,47,湖南师范大学社会科学学报,湖南长沙岳麓山(410081),(0731)88722098872471,,
90,48,福建师范大学学报(哲学社会科学版),福州市仓山区(350007),,,
91,49,武汉理工大学学报(社会科学版),武汉市武昌区和平大道1040号50号信箱(430063),(027)86553823,,
92,50,内蒙古大学学报(人文社会科学版),呼和浩特市赛罕区大学西路235号(010021),(0471)4992004,,
93,51,北京交通大学学报(社会科学版),北京市海淀区西直门外上园村3号(100044),(010)51682711,,
94,52,中国地质大学学报(社会科学版),中国武汉市鲁磨路388号(430074),(027)67885186,,
95,53,北京林业大学学报(社会科学版),北京市海淀区清华东路35号(100083),(010)62337919,,
96,54,杭州师范学院学报(社会科学版),杭州市下沙高教园学林街16号(310036),(0571)28865871,,
97,55,同济大学学报(社会科学版),上海市四平路1239号(200092),(021)65983944,,
98,56,烟台大学学报(哲学社会科学版),山东烟台(264005),(0535)6902703,,
99,57,大连理工大学学报(社会科学版),大连市凌工路2号(116024),(0411)84708305,,
100,58,深圳大学学报(人文社会科学版),深圳大学(518060),(0755)6536133,,
101,59,齐鲁学刊,山东·曲阜(273165),(0537)4455347,,
102,60,湖北大学学报(哲学社会科学版),武汉市武昌区学院路11号(430062),(027)88663900,,
103,61,东北大学学报(社会科学版),沈阳南湖东北大学(110004),(024)83687253,,
104,62,河北大学学报(哲学社会科学版),河北省保定市五四东路180号(071002),(0312)5079412,,
105,63,华南师范大学学报(社会科学版),华南师范大学学报杂志社(广州石牌)(510631),(020)85211440,,
106,64,宁夏大学学报(人文社会科学版),宁夏银川西夏区文萃北街217号(750021),(0951)20617932061735,,
107,65,上海师范大学学报(哲学社会科学版),上海市桂林路100号(200234),(021)64322304,,
108,66,海南大学学报(人文社会科学版),海南省海口市(570228),(0898)66279237,,
109,67,云南师范大学学报(哲学社会科学版),昆明市一二·一大街298号(650092),(0871)5516038,,
110,1,管理世界,北京市海淀区大钟寺8号3层(100098),(010)6211223562111169,,
111,2,科研管理,北京市海淀区中关村东路55号8712信箱(100080),(010)62555521,,
112,3,中国软科学,北京市西城区三里河路54号270室(100045),(010)6859827068598286,,
113,4,科学学研究,北京中关村东路55号8712信箱(100080),(010)62622031,,
114,5,外国经济与管理,上海市武东路321号乙(200434),(021)65904367,,
115,6,南开管理评论,天津市南开区卫津路94号南开大学商学院(300071),(022)23505995,,
116,7,管理科学学报,天津南开区卫津路92号天津大学(300072),(022)27403197,,
117,8,研究与发展管理,上海市邯郸路220号复旦大学管理学院(200433),(021)65643679,,
118,9,中国管理科学,北京海淀区中关村东路55号(100080),(010)62542629,,
119,10,管理工程学报,杭州市古墩路浙江大学紫金港校区(310058),(0571)88206832,,
120,11,科学学与科学技术管理,天津市河东区新开路138号科技创新大厦(300011),(022)2443712224324911,,
121,12,预测,合肥工业大学290信箱(230009),(0551)2901500,,
122,13,管理科学,哈尔滨市南岗区法院街13号(150001),(0451)86414056,,
123,14,科学管理研究,呼和浩特市新城西街47号汇通饭店415室(010010),(0471) 5883717,,
124,15,中国科技论坛,"北京海淀区玉渊潭南路8号,北京3814信箱(100038)",(010)5888459358884595,,
125,16,中国行政管理,"北京西安门大街22号,中南海1745信箱(100017)",(010)8308332463099125,,
126,17,管理评论,北京市中关村东路80号7号楼112室(100080),(010)82680674,,
127,18,经济管理,北京月坛北小街2号(100836),(010)6801905768039094,,
128,,19,软科学,成都市人民南路4段11号5楼(610041),(028)85221835,
129,,20,公共管理学报,哈尔滨市南岗区法院街13号(150001),0451-864020090451-86402009,
130,,21,经济体制改革,四川省成都市青羊宫省社科院(610072),(028)87016562,
131,,22,科技进步与对策,武汉市洪山路2号湖北科教大厦D座5楼(430071),(027)8727755687277066,
132,,23,管理现代化,北京市朝阳区安华西里一区13号楼(100011),(010)6424951064263335-3212,
133,,24,科技管理研究,"广州市连新路171号,广东国际科技中心307(510033)",(020)83568469,
134,,25,中国人力资源开发,北京市西城区百万庄子区38号(100037),(010) 8836316488364504-3163,
135,,26,管理学报,武汉市洪山区珞喻路1037号(430074),027-87542154,
136,,27,宏观经济管理,北京市西城区三里河国家发展改革委(100824),(010)6839153768539228,
137,,28,华东经济管理,安徽合肥市望江东路115号(230059),(0551)3425621,
138,,29,现代管理科学,南京市北京西路70号22号楼(210013),(025)83206820,
139,环境科学(5种),1,中国人口·资源与环境,济南市文化东路88号山东师范大学院(250014),(0531)8296602186182968,
140,2,资源科学,北京安外大屯路甲11号(100101),(010)64889446,,
141,3,环境保护,北京市崇文区广渠门内大街16号(100062),(010)67113764,,
142,4,长江流域资源与环境,武汉市武昌小洪山西区25号(430071),(027)87198181,,
143,5,"生态与农村环境学报(原名:农村生态环境,06年更名)",江苏省南京市蒋王庙街8号(210042),(025)8528705285287053,,
144,1,教育研究,北京市北三环中路46号(100088),(010)82014985,,
145,2,高等教育研究,武昌喻家山华中科技大学(430074),(027)87543893,,
146,3,北京大学教育评论,北京大学教育评论编辑部(100871),(010)6275121662754971,,
147,4,电化教育研究,兰州市安宁东路967号西北师范大学(730070),(0931)7971823,,
148,5,华东师范大学学报(教科版),上海市中山北路3663号(200062),(021)62232305,,
149,6,比较教育研究,北京新街口外大街19号北京师范大学国际与比较教育研究所(100875),(010)58808310,,
150,7,清华大学教育研究,北京清华大学文南楼403室(100084),(010)62788995,,
151,8,教师教育研究,北京师范大学(100875),(010)58807942,,
152,9,教育与经济,武汉华中师范大学教科院(430079),(027)67865330,,
153,10,中国电化教育,北京复兴门内大街160号(100031),(010)66490924,,
154,11,教育研究与实验,武昌桂子山华中师大三号楼(430079),(027)67868275,,
155,12,教育发展研究,上海市茶陵北路21号(200032),(021)6403895234311989,,
156,13,教育理论与实践,山西省太原市解放路东头道巷9号(030009),(0351)56046325604616,,
157,14,课程·教材·教法,北京市海淀区中关村南大街17号院1号楼(100081),(010)58758977,,
158,15,中国远程教育,北京市海淀区西四环中路45号(100039),(010)68182520,,
159,16,全球教育展望,上海市中山北路3663号(200062),(021)62232938,,
160,17,中国高等教育,北京市海淀区文慧园北路10号(100082),(010)62243806,,
161,18,开放教育研究,上海市大连路1541号1301室(200086),(021)65631403,,
162,19,教育科学,大连市黄河路850号(116029),(0411)84258254,,
163,20,外国教育研究,长春市人民大街5268号(130024),(0431)5098501,,
164,21,学位与研究生教育,北京中关村南大街5号(100081),(010)68912292,,
165,22,复旦教育论坛,上海市邯郸路220号(200433),(021)55664241,,
166,23,现代教育技术,北京清华大学电教中心(100084),(010)62782405,,
167,24,中国高教研究,北京西单大木仓胡同35号教育部中国高等教育学会(100816),,,
168,25,现代大学教育,湖南长沙市岳麓山中南大学(410083),(0731)8876856,,
169,26,中国教育学刊,北京西单大木仓胡同35号(100816),(010)64845699,,
170,27,中国特殊教育,中国北京北三环中路46号(100088),(010)6200335862003367,,
171,28,江苏高教,南京市草场门石头城9号(210013),(025)83718422,,
172,29,教育学报,北京市新街口外大街19号北京师范大学英东教育楼教育学院(100875),(010)58805288,,
173,30,高教探索,广州市小北路155号(510045),(020)83566017,,
174,31,高等工程教育研究,湖北武汉华中科技大学(430074),(027)87542950,,
175,32,中国大学教学,北京西城区德胜门外大街4号(100011),(010)58581864,,
176,33,国家教育行政学院学报,北京大兴(102617),(010)69260513,,
177,34,远程教育杂志,浙江省杭州市教工路42号(310012),(0571)88065047,,
178,35,教育与现代化,安徽合肥金寨路96号中国科技大学(230026),(0551)3602252,,
179,36,教育科学研究,北京市朝阳区北四环东路95号(100101),(010)84649579,,
180,37,思想理论教育导刊,北京西城区德外大街4号(100011),(010)58581398,,
181,1,经济研究,北京市阜外月坛北小街2号(100836),(010)68034153,,
182,2,中国工业经济,北京市阜外月坛北小街2号(100836),(010)68032678,,
183,3,世界经济,北京市建国门内大街5号(100732),(010)85195790,,
184,4,金融研究,北京市西城区成方街32号2号楼(100800),(010)6619540266195205,,
185,5,会计研究,北京市复兴门外三里河财政部(100820),(010)68528922,,
186,6,中国农村经济,北京市建国门内大街5号(100732),(010)85195650,,
187,7,国际经济评论,北京市建国门内大街5号15层(100732),(010)85195773,,
188,8,经济科学,北京大学法学楼4层(100871),(010)62751488,,
189,9,中国农村观察,北京市建国门内大街5号(100732),(010)85195649,,
190,10,世界经济文汇,上海市邯郸路220号(200433),(021)65643136,,
191,11,经济学动态,北京市阜外月坛北小街2号(100836),(010)68051607,,
192,12,经济社会体制比较,北京市西城区西斜街36号(100032),(010)66179690,,
193,13,农业经济问题,北京市中关村南大街12号(100081),(010)68918705,,
194,14,财贸经济,北京市阜外月坛北小街2号(100836),(010)68034659,,
195,15,财经研究,上海市武东路321号乙(200434),(021)65904345,,
196,16,国际金融研究,北京市复兴门内大街1号(100818),(010)6659406266594110,,
197,17,改革,重庆市江北区桥北村270号(400020),(023)67767553,,
198,18,南开经济研究,天津市卫津路94号(300071),(022)23508250,,
199,19,经济理论与经济管理,北京市中关村大街31号(100080),(010)62510762,,
200,20,经济学家,四川成都外西光华村55号(610074),(028)8735202387352177,,
201,21,数量经济技术经济研究,北京市建国门内大街5号(100732),(010)85195717,,
202,22,世界经济研究,上海市淮海中路622弄7号472室(西区)(200020),(021)63845104,,
203,23,经济评论,武汉市武昌珞珈山(430072),(027)68754563,,
204,24,审计研究,北京市西城区西直门外南路5号(100044),(010)64066070,,
205,25,中国社会经济史研究,厦门大学399信箱(361005),(0592)21863775710386,,
206,26,财经科学,成都市外西光华村街55号(610074),(028)87352248,,
207,27,国际贸易问题,北京市朝阳区惠新东街10号对外经济贸易大学129信箱(100029),(010)64492403,,
208,28,上海经济研究,上海市淮海中路622弄7号501室(200020),(021)53060606-2501,,
209,29,财经问题研究,大连市黑石礁东北财经大学杂志社(116025),(0411)8471051484710524,,
210,30,产业经济研究,南京市铁路北街128号(210003),(025)83495926,,
211,31,当代经济科学,西安市雁塔西路76号西安交大169信箱(710061),(029)85222048,,
212,32,财经论丛:浙江财经学院学报,杭州市文一西路83号(310012),(0571)88922750,,
213,33,宏观经济研究,北京市西城区木樨地北里甲11号国宏大厦(100038),(010)63908358,,
214,34,国际贸易,北京市东城区安定门外大街东后巷28号(100710),(010)64212149,,
215,35,中国农史,南京农业大学(210095),(025)84396605,,
216,36,中国经济问题,厦门大学经济研究所(361005),(0592)2181474,,
217,37,当代财经,南昌市庐山中大道(330013),(0791)3816904,,
218,38,当代经济研究,长春市净月大街3699号(130117),(0431)8453919884539199,,
219,39,财经理论与实践,湖南省长沙市岳麓区(410082),(0731)8821883,,
220,40,农业技术经济,北京市中关村南大街12号(100081),(010)68918705,,
221,41,中国土地科学,北京市西城区大觉胡同50号(100035),(010)6656268366562651,,
222,42,中国经济史研究,北京市阜外月坛北小街2号(100836),(010)68035007,,
223,43,税务研究,北京市宣武区枣林前街68号(100053),(010)63569126,,
224,44,证券市场导报,深圳市深南东路5045号17楼(518010),(0755)25918592,,
225,45,财政研究,北京市复外三里河财政部科研所转(100820),(010)8819123388191283,,
226,46,中央财经大学学报,北京市海淀区学院南路39号(100081),(010)62288381,,
227,47,商业经济与管理,杭州市下沙高教园区学正街18号(310018),(0571)2887750328877505,,
228,48,经济纵横,长春市自由大路5399号(130033),(0431)4637225,,
229,49,国际经贸探索,广州市白云区白云大道北2号(510420),(020)36207076,,
230,50,国际经济合作,北京市安外东后巷28号(100710),(010)6421107864249223,,
231,51,城市问题,北京市北四环中路33号(100101),(010)6487089464874817,,
232,52,经济与管理研究,北京市朝外红庙首都经济贸易大学(100026),(010)6597648465976610,,
233,53,山西财经大学学报,太原市坞城路696号(030006),(0351)76668337666806,,
234,54,金融论坛,北京市海淀区翠微路15号(100036),(010)6610910866109121,,
235,55,经济问题,太原市并州南路116号(030006),(0351)5691859,,
236,56,城市发展研究,北京市百万庄建设部(100835),(010)5893397258934190,,
237,57,中南财经政法大学学报,武汉武昌武珞路114号(430060),(027)88045631,,
238,58,世界经济与政治论坛,南京市虎踞北路12号(210013),(025)83391504,,
239,59,经济问题探索,昆明市东二环路685号(650216),(0871)3849950,,
240,60,调研世界,北京市月坛南街57号(100826),(010)68782898,,
241,,61,亚太经济,福州市柳河路18号(350001),(0591)83791485,
242,,62,财贸研究,蚌埠市曹山路962号(233030),(0552)3175991,
243,,63,中国流通经济,北京物资学院北京240信箱(101149),(010)89534488/4242,
244,,64,投资研究,北京市金融大街25号(100032),(010)6759664467596634,
245,,65,上海金融,中国上海浦东新区陆家嘴东路181号815室(200120),(021)684781868478187,
246,,66,涉外税务,深圳市福田路28号地税大楼(518033),"(010)63543388-6320,2122",
247,,67,经济经纬,河南省郑州市文化路80号(450011),(0371)6351903863519039,
248,,68,现代经济探讨,南京市虎踞北路12号(210013),(025)83391040,
249,,69,商业研究,哈尔滨市道里区通达街138号(150076),(0451)84866358,
250,,70,消费经济,长沙市麓山路36号湖南师范大学商学院(410081),(0731)8644080,
251,,71,现代财经:天津财经学院学报,天津市河西区珠江道25号(300222),(022)28118414,
252,,72,中国金融,北京市宣武区广安门外小红庙南里3号(100055),(010)63265580,
253,考 古 学(7种),1,考古学报,北京市王府井大街27号(100710),(010)65253051,
254,2,文物,北京市东城区东直门内北小街2号楼(100007),(010)84007078,,
255,3,考古,北京市王府井大街27号(100710),(010)65253665,,
256,4,敦煌研究,甘肃省兰州市滨河东路292号(730000),(0931)88660138415026,,
257,5,考古与文物,西安市雁塔路南段乐游路3号(710054),(029)85529472,,
258,6,华夏考古,郑州市陇海北三街9号(450000),(0371)66319695,,
259,7,中国历史文物,北京天安门广场东侧中国国家博物馆(100006),(0371)66319695,,
260,1,历史研究,北京市鼓楼西大街甲158号(100720),(010)64076113,,
261,2,近代史研究,北京市王府井大街东厂胡同1号(100006),(010)65275944,,
262,3,中国史研究,北京市建内大街5号(100732),(010)65137744-5836,,
263,4,清史研究,北京市中关村大街59号(100872),(010)62511428,,
264,5,史学理论研究,北京市王府井大街东厂胡同1号(100006),(010)65248020,,
265,6,史学月刊,开封市河南大学东一斋(475001),(0378)2869623,,
266,7,史林,上海市中山西路1610号1401室(200235),(021)64862266-2401,,
267,8,抗日战争研究,北京市王府井大街东厂胡同1号(100006),(010)65275931,,
268,9,中国历史地理论丛,陕西师范大学校(710062),(029)85303935,,
269,10,世界历史,北京市王府井大街东厂胡同1号(100006),(010)65275907,,
270,11,当代中国史研究,北京市地安门西大街旌勇里8号(100009),(010)66572319,,
271,12,史学集刊,长春市前进大街2699号(130012),(0431)85166107,,
272,13,华侨华人历史研究,北京市北新桥三条甲1号(100007),(010)64018846,,
273,14,民国档案,南京市中山东路309号(210016),(025)84665959,,
274,15,中国边疆史地研究,北京市王府井大街东厂胡同一号(100006),(010)65274307,,
275,16,历史档案,北京市故宫西华门内(100031),(010)63098376,,
276,17,史学史研究,北京师范大学史学研究所(100875),,,
277,18,安徽史学,合肥市卫岗安徽省社会科学院(230053),(0551)3438361,,
278,19,中华文史论丛,上海市瑞金二路272号:中国古籍出版社(200020),(021)54650155,,
279,,20,文史,北京市丰台区太平桥西里38号(100073),(010)63267924,
280,,21,西域研究,新疆乌鲁木齐市北京南路16号(830011),(0991)3837937,
281,,22,历史教学,天津市和平区西康路35号(300051),(022)2333233023332485,
282,,23,文献,北京市中关村南大街33号(100081),(010)66174391,
283,,24,历史教学问题,上海市中山北路3663号(200062),(021)62232334,
284,,25,中国史研究动态,北京市建内大街5号(100732),(010)65137744-5839\5836,
285,,26,东南文化,南京市中山东路321号(210016),(025)84806201,
286,克思主义(12种,1,马克思主义与现实,北京市西城区西斜街36号(100032),(010) 66509601,
287,,2,教学与研究,北京市海淀区中关村大街59号(100872),(010)62511680,
288,,3,当代世界与社会主义,北京西单西斜街36号(100032),(010)66509501,
289,,4,国外理论动态,北京市西城区西斜街36号(100032),(010)66509302,
290,,5,马克思主义研究,北京市建国门内大街5号(100732),(010)85196310,
291,,6,毛泽东邓小平理论研究,上海市中山西路1610号1608室(200235),(021)6427473664862266-2608,
292,,7,中国特色社会主义研究,北京市朝阳区北四环中路33号(100101),(010)64874539,
293,,8,科学社会主义,北京市海淀区大有庄100号(100091),(010)6280524562809964,
294,,9,理论前沿,北京市海淀区大有庄100号中共中央党校(100091),(010)6280518562806049,
295,,10,高校理论战线,北京市海淀区中关村大街35号7层(100080),(010)62514713,
296,,11,当代世界社会主义问题,中国济南洪家楼5号(250100),(0531)88375471,
297,,12,社会主义研究,武昌桂子山3号楼(430079),(027)67868330,
298,民 族 学(13种),1,民族研究,北京市海淀区中关村南大街27号(100081),(010)68932934,
299,2,世界民族,北京市海淀区中关村南大街27号(100081),(010)68932802,,
300,3,中国藏学,北京市北四环东路131号(100101),(010)64937904,,
301,4,广西民族大学学报(哲学社会科学版),南宁市大学东路188号(530006),(0771)3260122,,
302,5,中央民族大学学报(哲学社会科学版),北京市海淀区中关村南大街27号(100081),(010)68933635,,
303,6,西北民族研究,甘肃省兰州市西北新村1号西北民族大学(730030),(0931)29288812928911,,
304,7,中南民族大学学报(人文社会科学版),中国武汉市民院路5号(430074),(027)67842094,,
305,8,广西民族研究,南宁市桃源路4号(530021),(0771)28066322813282,,
306,9,回族研究,宁夏银川市西夏区(750021),(0951)2074543,,
307,10,西南民族大学学报(人文社科版),四川成都(610041),(028)85522071,,
308,11,西北第二民族学院学报(哲学社会科学版),宁夏银川市文昌路(750021),(0951)2066907,,
309,12,民族教育研究,北京市中关村南大街27号(100081),(010)68932754,,
310,13,民俗研究,济南市山东大学东校区新校(250100),(0531)8836462688362166,,
311,1,旅游学刊,北京朝阳区北四环东路99号(100101),(010)6490016364900165,,
312,2,城市规划,北京市三里河路9号中国城市规划设计研究院(100037),(010)68335893,,
313,3,经济地理,长沙市青园路506号(410004),(0731)5584716,,
314,4,城市规划学刊,上海市四平路1239号(200092),(021)65983507,,
315,5,人文地理,西安市长安南路437号西安外国语大学(710061),(029)85319374,,
316,,6,地域研究与开发,郑州市陇海中路64号(450052),(0371)67939201,
317,,7,"国际城市规划(原名:国外城市规划,07年更名)",北京三里河路9号中国城市规划设计研究院(100037),(010)68343240,
318,社 会 学(9种),1,社会学研究,北京市建国门内大街5号(100732),(010)65122608,
319,,2,中国人口科学,北京市建国门内大街5号(100732),(010)85195419,
320,,3,人口研究,北京市海淀区中关村大街59号(100872),(010)62511320,
321,,4,人口与经济,北京市朝阳门外红庙首都经济贸易大学(100026),(010)65976473,
322,,5,人口学刊,长春市前进大街2699号(130012),(0431)5166392,
323,,6,市场与人口分析,北京大学人口研究所(100871),(010)62759200,
324,,7,社会:社会学丛刊,上海市上大路99号32信箱(200444),(021)66135633,
325,,8,南方人口,"广州市新港西路135号,中山大学(510275)",(020)84036605,
326,,9,西北人口,甘肃省兰州市天水南路222号(730000),(0931)8912629,
327,体 育 学(10种),1,体育科学,北京体育馆路11号(100061),(010)6718129387182588,
328,,2,中国体育科技,北京体育馆路11号(100061),(010)87182588,
329,,3,体育与科学,南京孝陵卫(210014),(025)84755315,
330,,4,北京体育大学学报,北京市海淀区中关村北大街(100084),(010)62989268,
331,,5,体育学刊,广州华南师范大学公体楼303(510631),(020)8521026985211412,
332,,6,上海体育学院学报,上海市清源环路650号(200438),(021)51253131,
333,,7,成都体育学院学报,成都市体院路2号(610041),(028)85095371,
334,,8,西安体育学院学报,陕西省西安市含光北路65号(710068),(029)88409449,
335,,9,天津体育学院学报,天津市河西区卫津南路51号(300381),(022)23012636,
336,,10,武汉体育学院学报,中国武汉洪山区珞喻路461号(430079),(027)87192147,
337,统 计 学(4种),1,统计研究,北京月坛南街75号(100826),(010)63376679,
338,2,数理统计与管理,北京大学概率统计系(100871),,,
339,3,统计与决策,武汉市水果湖东一路19-2号(430071),(027)8781452487811400,,
340,4,统计与信息论坛,西安市小寨东路64号(710061),(029)82348751,,
341,1,中国图书馆学报,北京中关村南大街33号(100081),(010)88545141,,
342,2,大学图书馆学报,北京大学图书馆302室(100871),(010)62759056,,
343,3,情报学报,北京市复兴路15号(100038),(010)68598273,,
344,4,图书情报工作,北京市中关村北四环西路33号(100080),(010)82623933,,
345,5,情报理论与实践,北京2413信箱10分箱(100089),(010)68961793,,
346,6,图书情报知识,武汉市珞珈山武汉大学信息管理学院(430072),(027)68754437-8502,,
347,7,图书馆,长沙市韶山北路169号(410011),(0731)4174148,,
348,8,现代图书情报技术,北京中关村北四环西路33号(100080),(010)82624938,,
349,9,情报资料工作,北京张自忠路3号(100007),(010)64057499,,
350,10,图书馆建设,哈尔滨市长江路218号(150090),(0451)85990515,,
351,11,情报科学,长春市人民大街5988号(130022),(0431)85095200,,
352,12,图书馆论坛,广州文明路213号(510110),(020)83825705,,
353,13,图书馆杂志,上海市淮海中路1555号上海图书馆(200031),(021)64455503,,
354,,14,国家图书馆学刊,北京市中关村南大街33号(100081),(010)88545737,
355,,15,图书馆工作与研究,天津市南开区复康路15号(300191),(022)23368221,
356,,16,情报杂志,西安市雁塔路南段99号(710054),(029)85529749,
357,,17,图书馆学研究,长春市新民大街1162号(130021),(0431)85642935,
358,,18,图书与情报,兰州市南滨河东路488号(730000),(0931)8270072,
359,,19,档案学研究,北京市宣武区永安路106号(100050),(010)6301870663020081,
360,,20,档案学通讯,北京张自忠路3号(100007),(010)64035109,
361,国 文 学(6种,1,外国文学评论,北京市建国门内大街5号(100732),(010)85195583,
362,,2,外国文学,北京外国语大学(100089),,
363,,3,外国文学研究,武汉华中师范大学文学院(430079),(027)67866042,
364,,4,国外文学,北京大学(100871),(010)62764996,
365,,5,当代外国文学,南京汉口路22号(210093),(025)83593381,
366,,6,俄罗斯文艺,北京师范大学(100875),,
367,心 理 学(7种),1,心理学报,中国科学院心理研究所(100101),(010)64850861,
368,,2,心理发展与教育,北京新街口外大街19号(100875),,
